nome,preco,stock,data
Computador King Mod Gamer-PC Ryzen 7 7800X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,"2 199,90 €",Em stock,2025-08-05
Computador AURA Gamer-PC Ryzen 5 5600 32GB DDR4 1TB RTX 5060 Ti 16GB WiFi W11,"949,90 €",Em stock,2025-08-05
Computador King Mod Gamer-PC Mach 5G Ryzen 5 7600X3D 32GB DDR5 2TB RTX 5070 Ti WiFi W11,"1 849,90 €",Em stock,2025-08-05
Computador King Mod Gamer-PC Mach 5R Ryzen 5 7600X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,"1 699,90 €",Em stock,2025-08-05
Computador AURA Gamer-PC Ryzen 7 5700X 32GB DDR4 1TB RTX 4060 Ti WiFi W11,"949,90 €",Em stock,2025-08-05
Computador King Mod Gamer-PC Powered by MSI Ryzen 7 7800X3D 32GB DDR5 1TB RTX 5070 WiFi W11,"1 849,90 €",Em stock,2025-08-05
Computador King Mod Gamer-PC Ryzen 7 9800X3D 32GB DDR5 1TB RTX 5070 Ti WiFi W11,"2 599,90 €",Em stock,2025-08-05
Computador AURA Gamer-PC TEAM 7 EDITION Ryzen 5 7500F 32GB DDR5 1TB RTX 5060 WiFi W11,"899,90 €",Em stock,2025-08-05
Computador AURA Gamer-PC Ryzen 5 7500F 32GB DDR5 1TB RTX 4070 SUPER WiFi W11,"1 199,90 €",Esgotado,2025-08-05
Computador King Mod Limited-PC Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11 V2,"3 499,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC Intel i7 14700F 32GB DDR5 1TB RTX 5070 WiFi W11,"1 949,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC Powered by MSI - Mach 3.1 Ryzen 7 5700X3D 32GB DDR4 1TB RTX 5070 WiFi W11,"1 399,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11,"5 499,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC Powered by ASUS Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,"3 799,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11 V2,"5 299,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC x ASUS Impakt Edition Intel i5 14400F 32GB DDR4 1TB RTX 4060 WiFi W11,"849,90 €",Esgotado,2025-08-05
Computador King Mod Limited-PC Ryzen 5 5500 16GB DDR4 500GB RTX 3050 8GB WiFi W11,"649,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC Mach 1 Ryzen 5 5600 16GB DDR4 1TB RTX 4060 WiFi W11,"799,90 €",Esgotado,2025-08-05
Computador AURA Gamer-PC Ryzen 5 7500F 32GB DDR5 1TB RX 9060 XT 16GB WiFi W11,"999,90 €",Esgotado,2025-08-05
Computador King Mod Limited-PC Intel i7 14700KF 48GB DDR5 2TB RTX 4070 Ti SUPER WiFi W11,"2 399,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11 V3,"4 699,90 €",Esgotado,2025-08-05
Computador AURA Gamer-PC Impakt Edition Intel i5 14400F 32GB DDR5 1TB RTX 5060 Ti 16GB WiFi W11,"1 219,90 €",Esgotado,2025-08-05
Computador King Mod Gamer-PC x iCUE Ryzen 7 9700X 32GB DDR5 1TB RTX 5070 WiFi W11,"1 999,90 €",Esgotado,2025-08-05
