,nome,preco,stock,data
0,Computador Asus ROG Strix G13CHR i5-14400F 32GB DDR5 2TB RTX 4060 8GB," 299,90 €",Em stock,2025-03-26
1,Computador King Mod Limited-PC Ryzen 7 9700X 32GB DDR5 1TB RTX 4070 Ti SUPER WiFi W11,"2 299,90 €",Em stock,2025-03-26
2,Computador King Mod Limited-PC Ryzen 5 5600 32GB DDR4 1TB RTX 4060 Ti W11,"249,90 €",Em stock,2025-03-26
3,Computador King Mod Gamer-PC Powered by MSI - Mach 6 Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,"2 999,90 €",Em stock,2025-03-26
4,Computador King Mod Gamer-PC NZXT Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5070 Ti WiFi W11,"1 099,90 €",Fazer Pré Reserva,2025-03-26
5,Computador King Mod Limited-PC NZXT Intel i5 14600KF 32GB DDR5 1TB RTX 4060 WiFi W11,"1 399,90 €",Fazer Pré Reserva,2025-03-26
6,Computador King Mod Gamer-PC Powered by NZXT i5 13400F 32GB DDR4 1TB RTX 4060 Ti 16GB WiFi W11,"1 399,90 €",Esgotado,2025-03-26
7,Computador King Mod Gamer-PC Powered by NZXT x MSI i5 14600KF 32GB DDR5 1TB RTX 4070 SUPER WiFi W11,"1 999,90 €",Esgotado,2025-03-26
8,Computador King Mod Gamer-PC Powered by ASUS Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,"4 199,90 €",Esgotado,2025-03-26
9,Computador King Mod Gamer-PC AMD Ryzen 7 8700G 32GB DDR5 1TB 780M WiFi W11,"349,90 €",Esgotado,2025-03-26
10,Computador King Mod Gamer-PC Powered by MSI - Mach 3.1 Ryzen 7 5700X3D 32GB DDR4 1TB RTX 5070 WiFi W11,"1 499,90 €",Esgotado,2025-03-26
11,Computador King Mod Limited-PC Ryzen 7 9800X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,"8 599,90 €",Esgotado,2025-03-26
12,Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11 V2,"6 999,90 €",Esgotado,2025-03-26
13,Computador King Mod Gamer-PC Ryzen 7 7800X3D 32GB DDR5 1TB RTX 5070 Ti WiFi W11," 499,90 €",Esgotado,2025-03-26
