nome,preco_ontem,stock_ontem,data_ontem,preco_hoje,stock_hoje,data_hoje,diferença
Computador Asus ROG Strix G13CHR i5-14400F 32GB DDR5 2TB RTX 4060 8GB,1299.9,Em stock,2025-03-27,1299.9,Em stock,2025-03-29,0.0
Computador King Mod Limited-PC Ryzen 7 9700X 32GB DDR5 1TB RTX 4070 Ti SUPER WiFi W11,2299.9,Em stock,2025-03-27,2299.9,Em stock,2025-03-29,0.0
Computador King Mod Limited-PC Ryzen 5 5600 32GB DDR4 1TB RTX 4060 Ti W11,949.9,Em stock,2025-03-27,949.9,Em stock,2025-03-29,0.0
Computador King Mod Gamer-PC Powered by MSI - Mach 6 Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,2999.9,Em stock,2025-03-27,2999.9,Em stock,2025-03-29,0.0
Computador King Mod Limited-PC Ryzen 5 7500F 32GB DDR5 1TB RTX 4060 WiFi W11,999.9,Em stock,2025-03-27,999.9,Em stock,2025-03-29,0.0
Computador King Mod Limited-PC NZXT Intel i5 14600KF 32GB DDR5 1TB RTX 4060 WiFi W11,1399.9,Fazer Pré Reserva,2025-03-27,1399.9,Fazer Pré Reserva,2025-03-29,0.0
Computador King Mod Gamer-PC Powered by NZXT i5 13400F 32GB DDR4 1TB RTX 4060 Ti 16GB WiFi W11,1399.9,Esgotado,2025-03-27,1399.9,Esgotado,2025-03-29,0.0
Computador King Mod Gamer-PC Powered by NZXT x MSI i5 14600KF 32GB DDR5 1TB RTX 4070 SUPER WiFi W11,1999.9,Esgotado,2025-03-27,1999.9,Esgotado,2025-03-29,0.0
Computador King Mod Gamer-PC Powered by ASUS Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,4199.9,Esgotado,2025-03-27,4199.9,Esgotado,2025-03-29,0.0
Computador King Mod Gamer-PC AMD Ryzen 7 8700G 32GB DDR5 1TB 780M WiFi W11,849.9,Esgotado,2025-03-27,849.9,Esgotado,2025-03-29,0.0
Computador King Mod Gamer-PC Powered by MSI - Mach 3.1 Ryzen 7 5700X3D 32GB DDR4 1TB RTX 5070 WiFi W11,1499.9,Esgotado,2025-03-27,1499.9,Esgotado,2025-03-29,0.0
Computador King Mod Limited-PC Ryzen 7 9800X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,2599.9,Esgotado,2025-03-27,2599.9,Esgotado,2025-03-29,0.0
Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11 V2,5999.9,Esgotado,2025-03-27,5999.9,Esgotado,2025-03-29,0.0
