nome,2025-08-05,2025-08-04,2025-07-08,2025-07-07,2025-04-08
Computador AURA Gamer-PC Impakt Edition Intel i5 14400F 32GB DDR5 1TB RTX 5060 Ti 16GB WiFi W11,1219.9,1219.9,-,-,-
Computador AURA Gamer-PC Intel i5 14400F 32GB DDR5 1TB RTX 5060 Ti WiFi W11,-,999.9,999.9,999.9,-
Computador AURA Gamer-PC Ryzen 5 5600 32GB DDR4 1TB RTX 5060 Ti 16GB WiFi W11,949.9,949.9,-,-,-
Computador AURA Gamer-PC Ryzen 5 7500F 32GB DDR5 1TB RTX 4070 SUPER WiFi W11,1199.9,1199.9,1199.9,1199.9,-
Computador AURA Gamer-PC Ryzen 5 7500F 32GB DDR5 1TB RX 9060 XT 16GB WiFi W11,999.9,999.9,-,-,-
Computador AURA Gamer-PC Ryzen 7 5700X 32GB DDR4 1TB RTX 4060 Ti WiFi W11,949.9,949.9,-,-,-
Computador AURA Gamer-PC TEAM 7 EDITION Ryzen 5 7500F 32GB DDR5 1TB RTX 5060 WiFi W11,899.9,899.9,899.9,899.9,-
Computador AURA Limited-PC Intel i3 13100F 8GB DDR4 500GB RX 6600 W11,-,-,549.9,549.9,-
Computador AURA Limited-PC Intel i5 13400F 32GB DDR4 1TB RTX 4060 Ti W11,-,949.9,-,-,-
Computador AURA Limited-PC Intel i5 13400F 32GB DDR4 1TB RTX 4060 Ti W11 V2,-,949.9,-,-,-
Computador Asus ROG Strix G13CHR i5-14400F 32GB DDR5 2TB RTX 4060 8GB,-,-,-,-,1299.9
Computador King Mod Gamer-PC AMD Ryzen 7 8700G 32GB DDR5 1TB 780M WiFi W11,-,-,-,-,849.9
Computador King Mod Gamer-PC Intel i7 14700F 32GB DDR5 1TB RTX 5070 WiFi W11,1949.9,1949.9,-,-,-
Computador King Mod Gamer-PC Mach 1 Ryzen 5 5600 16GB DDR4 1TB RTX 4060 WiFi W11,799.9,799.9,-,-,-
Computador King Mod Gamer-PC Mach 5G Ryzen 5 7600X3D 32GB DDR5 2TB RTX 5070 Ti WiFi W11,1849.9,1849.9,1849.9,1849.9,-
